scheme,individual,contrast_id,description,terms_json,estimate_unit,n_blocks,full_estimate_pp,mean_delete_one_pp,jackknife_bias_corrected_pp,jackknife_se_pp,t_critical_975,ci95_lo_pp,ci95_hi_pp,ci_excludes_zero
5mb,ORT15,nu_bamrefine5_minus_rescale5,Non-UDG bamRefine-5 minus Rescale-5 DeltaALT,"[{""state"":""ORT15:nu:bamrefine5"",""coefficient"":1.0},{""state"":""ORT15:nu:rescale5"",""coefficient"":-1.0}]",percentage_points,577,0.665031215864,0.665031206259,0.665036748879,0.0253623952986,1.96409103161,0.615222695733,0.714850802025,yes
5mb,ORT15,rescale5_shift_nu_minus_fu,Difference in rescale5 shift: non-UDG minus full-UDG,"[{""state"":""ORT15:nu:rescale5"",""coefficient"":1.0},{""state"":""ORT15:nu:raw"",""coefficient"":-1.0},{""state"":""ORT15:fu:rescale5"",""coefficient"":-1.0},{""state"":""ORT15:fu:raw"",""coefficient"":1.0}]",percentage_points,577,0.120576011071,0.120575954478,0.120608608289,0.0231522667598,1.96409103161,0.0751354487847,0.166081767793,yes
5mb,ORT15,rescale12_shift_nu_minus_fu,Difference in rescale12 shift: non-UDG minus full-UDG,"[{""state"":""ORT15:nu:rescale12"",""coefficient"":1.0},{""state"":""ORT15:nu:raw"",""coefficient"":-1.0},{""state"":""ORT15:fu:rescale12"",""coefficient"":-1.0},{""state"":""ORT15:fu:raw"",""coefficient"":1.0}]",percentage_points,577,0.103311310749,0.103311249285,0.103346714238,0.0320768091077,1.96409103161,0.0403449411471,0.166348487329,yes
5mb,ORT16,raw_nu_minus_raw_fu,Uncorrected non-UDG minus uncorrected full-UDG DeltaALT,"[{""state"":""ORT16:nu:raw"",""coefficient"":1.0},{""state"":""ORT16:fu:raw"",""coefficient"":-1.0}]",percentage_points,577,0.300258220287,0.300258212907,0.300262471394,0.0410622201084,1.96409103161,0.219612533141,0.380912409647,yes
5mb,ORT16,fu_trim5_minus_raw,fu trim5 minus fu raw DeltaALT,"[{""state"":""ORT16:fu:trim5"",""coefficient"":1.0},{""state"":""ORT16:fu:raw"",""coefficient"":-1.0}]",percentage_points,577,-0.471596231477,-0.471596180496,-0.471625596416,0.00671302110754,1.96409103161,-0.484810580968,-0.458440611863,yes
5mb,ORT16,fu_rescale5_minus_raw,fu rescale5 minus fu raw DeltaALT,"[{""state"":""ORT16:fu:rescale5"",""coefficient"":1.0},{""state"":""ORT16:fu:raw"",""coefficient"":-1.0}]",percentage_points,577,-1.08180858867,-1.08180855802,-1.08182624284,0.00614801616928,1.96409103161,-1.09390150626,-1.06975097942,yes
5mb,ORT16,fu_rescale12_minus_raw,fu rescale12 minus fu raw DeltaALT,"[{""state"":""ORT16:fu:rescale12"",""coefficient"":1.0},{""state"":""ORT16:fu:raw"",""coefficient"":-1.0}]",percentage_points,577,-1.96947155874,-1.96947155506,-1.96947367396,0.0119010109536,1.96409103161,-1.99284834284,-1.94609900508,yes
5mb,ORT16,fu_bamrefine5_minus_raw,fu bamrefine5 minus fu raw DeltaALT,"[{""state"":""ORT16:fu:bamrefine5"",""coefficient"":1.0},{""state"":""ORT16:fu:raw"",""coefficient"":-1.0}]",percentage_points,577,-0.451238309104,-0.45123825237,-0.451270987505,0.00534658855405,1.96409103161,-0.461772174134,-0.440769800876,yes
5mb,ORT16,nu_trim5_minus_raw,nu trim5 minus nu raw DeltaALT,"[{""state"":""ORT16:nu:trim5"",""coefficient"":1.0},{""state"":""ORT16:nu:raw"",""coefficient"":-1.0}]",percentage_points,577,-0.406125582348,-0.406125550174,-0.406144114445,0.0275306701966,1.96409103161,-0.460216856872,-0.352071372017,yes
5mb,ORT16,nu_trim10_minus_raw,nu trim10 minus nu raw DeltaALT,"[{""state"":""ORT16:nu:trim10"",""coefficient"":1.0},{""state"":""ORT16:nu:raw"",""coefficient"":-1.0}]",percentage_points,577,-0.501592186453,-0.501592199064,-0.501584922465,0.0443195950831,1.96409103161,-0.588632641692,-0.414537203237,yes
