scheme,individual,library,treatment,damage_alt_fraction_sum,damage_n_dp3,transversion_alt_fraction_sum,transversion_n_dp3,covered_sites,damage_alt_pct,transversion_alt_pct,estimate_unit,n_blocks,full_estimate_pp,mean_delete_one_pp,jackknife_bias_corrected_pp,jackknife_se_pp,t_critical_975,ci95_lo_pp,ci95_hi_pp,ci_excludes_zero
loco,ORT16,nu,trim10,5173.02155388,158538,3988.69047619,127553,12359179,3.26295371071,3.12708480098,percentage_points,22,0.135868909732,0.135803957155,0.137232913851,0.0877601163366,2.07961384473,-0.0452742390975,0.319740066799,no
loco,ORT16,nu,rescale5,9217.89421769,339739,8871.19162562,282179,17511873,2.71322815976,3.14381708973,percentage_points,22,-0.430588929965,-0.430638967855,-0.429538134277,0.0532637753748,2.07961384473,-0.540306218969,-0.318770049586,yes
loco,ORT16,nu,rescale10,6453.54659864,335517,8577.94162562,281437,17454352,1.92346337105,3.04790827987,percentage_points,22,-1.12444490882,-1.12448048088,-1.12369789553,0.0508789452698,2.07961384473,-1.22950645452,-1.01788933654,yes
loco,ORT16,nu,rescale12,5607.5952381,334219,8508.12495895,281262,17436192,1.67782060209,3.02498203062,percentage_points,22,-1.34716142853,-1.3471831834,-1.34670457618,0.0488488681944,2.07961384473,-1.44829135877,-1.24511779358,yes
loco,ORT16,nu,bamrefine5,9901.93707483,292337,7463.54281609,237813,16293931,3.38716518088,3.1384082519,percentage_points,22,0.24875692898,0.248693760902,0.250083458617,0.0621533847896,2.07961384473,0.120828419112,0.379338498122,yes
loco,ORT16,nu,bamrefine10,7645.17040816,241584,6064.08210181,198518,14951642,3.16460130148,3.05467620156,percentage_points,22,0.109925099922,0.109868112437,0.111121837101,0.0675297484809,2.07961384473,-0.0293139627707,0.251557636973,no
5mb,ORT15,fu,raw,85083.5851965,2408911,56360.6564451,1841765,28845214,3.53203523071,3.060143745,percentage_points,577,0.47189148571,0.471891589492,0.471831707401,0.0176292614746,1.96409103161,0.437206233045,0.506457181757,yes
5mb,ORT15,fu,trim5,49558.664472,1693137,38550.0468004,1279707,24340058,2.92703215818,3.01241196621,percentage_points,577,-0.0853798080345,-0.0853796286912,-0.0854831097514,0.0214729617516,1.96409103161,-0.12765796135,-0.0433082581529,yes
5mb,ORT15,fu,rescale5,52806.103284,2365160,54974.5609365,1839486,28742289,2.2326651594,2.98858273107,percentage_points,577,-0.755917571676,-0.755917408268,-0.756011694278,0.0182107086564,1.96409103161,-0.791779183829,-0.720244204727,yes
5mb,ORT15,fu,rescale12,28813.7879149,2334856,54456.5485267,1838640,28655823,1.23407130525,2.96178417345,percentage_points,577,-1.7277128682,-1.72771273396,-1.72779019092,0.0187262105916,1.96409103161,-1.7645701732,-1.69101020865,yes
5mb,ORT15,fu,bamrefine5,59979.6325628,2039780,46135.7521464,1537644,26617815,2.94049517903,3.00041831181,percentage_points,577,-0.0599231327803,-0.059922953406,-0.0600264523695,0.0197114078534,1.96409103161,-0.0987414517547,-0.0213114529843,yes
5mb,ORT16,fu,raw,189307.200214,5624091,131965.73868,4357027,45566134,3.36600528359,3.02880240769,percentage_points,577,0.337202875898,0.337203010951,0.337125085032,0.0130810639647,1.96409103161,0.311432684615,0.362817485449,yes
5mb,ORT16,fu,trim5,117321.572521,4128255,94069.4672176,3160607,40115936,2.84191680312,2.9763101587,percentage_points,577,-0.134393355579,-0.134393169544,-0.134500511383,0.0148008504676,1.96409103161,-0.163570729047,-0.10543029372,yes
5mb,ORT16,fu,rescale5,123154.680693,5539966,129179.038008,4352939,45451585,2.22302231987,2.96762803265,percentage_points,577,-0.744605712773,-0.744605547069,-0.744701157803,0.0137980432806,1.96409103161,-0.771801770864,-0.717600544742,yes
5mb,ORT16,fu,rescale12,72182.9639028,5479447,128358.075396,4351698,45348234,1.31734030647,2.94960898931,percentage_points,577,-1.63226868284,-1.63226854411,-1.63234858893,0.0158055184072,1.96409103161,-1.66339206588,-1.60130511197,yes
5mb,ORT16,fu,bamrefine5,138665.397724,4843994,110507.100885,3712452,42880311,2.86262529897,2.97666073217,percentage_points,577,-0.114035433206,-0.114035241419,-0.114145902472,0.014734266049,1.96409103161,-0.143085342277,-0.0852064626682,yes
5mb,ORT15,nu,raw,8548.7202381,197441,5539.55039683,159358,14380094,4.32975939045,3.47616711858,percentage_points,577,0.853592271869,0.853592427192,0.853502805734,0.0541426146207,1.96409103161,0.747161781929,0.959843829538,yes
5mb,ORT15,nu,trim5,5052.44880952,137554,3565.14642857,109400,12183234,3.67306571203,3.25881757639,percentage_points,577,0.414248135638,0.414248253721,0.414180119507,0.0634900792912,1.96409103161,0.289479824174,0.538880414839,yes
