PairIndividuals	Rel	Zup	Zdown	P0_mean	Nonnormalized_P0	Nonnormalized_P0_serr	1st_Type	Perc_Win_1stdeg_P0	OverlapNSNPs	NSNPsXNorm	KinshipCoefficient	KinshipCoefficient_95percCI[min,max]
ORT12,ORT9	Unrelated	NA	16.4108449830136	0.9948129226087336	0.24544022476313598	0.0013314514001201215	N/A	0.8841463414634146	392947	96947.87613643862	0.005187077391266448	0.9842355679086685,1.0053902773087986
ORT13,ORT14	Unrelated	NA	12.77188209230115	0.99682056164426	0.24593554942662216	0.0017495907832365395	N/A	0.7926829268292683	110224	27194.463119104636	0.003179438355739972	0.9829214119700114,1.0107197113185087
ORT13,ORT15	Unrelated	NA	9.188871087802548	0.9706654584559511	0.23948256288076242	0.0017295465890810272	N/A	0.7560975609756098	125078	30859.24170789819	0.02933454154404891	0.9569255444483146,0.9844053724635876
ORT13,ORT16	Unrelated	NA	15.095837436391983	0.9966776356255412	0.24590028672208586	0.00147791101903055	N/A	0.8597560975609756	193916	47842.951718358025	0.003322364374458764	0.9849367721873336,1.0084184990637488
ORT13,ORT18	Unrelated	NA	11.351449121432662	0.980201983944072	0.241835414262232	0.0016073218347457136	N/A	0.8170731707317073	142965	35272.32199723104	0.019798016055928014	0.967433051362882,0.9929709165252619
ORT13,ORT2	Unrelated	NA	13.03083248066989	1.0044500921413801	0.24781790704129786	0.001859276822404835	N/A	0.8475609756097561	97269	23998.205773081987	-0.004450092141380146	0.9896795714641616,1.0192206128185985
ORT13,ORT21	Unrelated	NA	13.222071815467045	1.0016248966576193	0.24712087486693118	0.0017796675862898229	N/A	0.852760736196319	103330	25493.57557425862	-0.0016248966576193347	0.987486809975148,1.0157629833400907
ORT13,ORT23	Unrelated	NA	17.63873289151299	1.0109686107224378	0.2494261558178236	0.0014647409053349075	N/A	0.8841463414634146	209116	51593.09542036839	-0.010968610722437822	0.9993323736821493,1.0226048477627263
ORT13,ORT24	Unrelated	NA	17.54326130934802	1.0090678823170791	0.2489572081429165	0.0014459811925648723	N/A	0.8650306748466258	240700	59385.4992811773	-0.009067882317079112	0.9975806767292508,1.0205550879049075
ORT13,ORT26	Unrelated	NA	18.731269356193742	1.0067039214503777	0.24837397176422837	0.0013231345436119611	N/A	0.8353658536585366	305499	75372.70729082004	-0.006703921450377681	0.9961926377621937,1.0172152051385617
ORT13,ORT27	Unrelated	NA	11.003491553644144	0.9684621308898945	0.23893895794686026	0.00139491866183409	N/A	0.7682926829268293	273844	67562.78631140305	0.031537869110105476	0.9573805777347225,0.9795436840450665
ORT13,ORT3	Unrelated	NA	15.366242950783061	0.9932857796084733	0.24506344807205077	0.001397444118740049	N/A	0.823170731707317	277471	68457.63968029724	0.006714220391526693	0.9821841636455476,1.004387395571399
ORT13,ORT4	Unrelated	NA	12.516176368646414	0.9826502812706819	0.24243945813065537	0.0015060091310734403	N/A	0.8466257668711656	191190	47170.393051800114	0.01734971872931812	0.9706861999985729,0.9946143625427909
ORT13,ORT5	Unrelated	NA	17.52715313351994	1.0165352587626257	0.250799559113167	0.0015524242113102524	N/A	0.8597560975609756	166029	40962.67162507098	-0.016535258762625737	1.0042024454684149,1.0288680720568366
ORT13,ORT6	Unrelated	NA	17.007658683387014	0.998510541898373	0.24635250132178554	0.0013383687615198668	N/A	0.8597560975609756	317752	78395.7672106051	0.0014894581016270392	0.9878782340959212,1.0091428497008246
ORT13,ORT7	Unrelated	NA	14.074207222412626	0.987221851937225	0.24356735595588117	0.001419431546433373	N/A	0.8343558282208589	246244	60753.31485248949	0.012778148062774997	0.9759455628156445,0.9984981410588055
ORT13,ORT8	Unrelated	NA	16.580364426604543	0.9964218059833815	0.24583716843778763	0.0013417790847070866	N/A	0.8658536585365854	298775	73713.76214264124	0.003578194016618519	0.9857624057928863,1.0070812061738768
ORT13,ORT9	Unrelated	NA	12.917578331701582	0.9796360221384475	0.24169578017664378	0.0014016402671127074	N/A	0.8475609756097561	254750	62851.91500573293	0.02036397786155253	0.9685010710123249,0.9907709732645701
ORT14,ORT15	Unrelated	NA	12.87719221968289	1.0032834953271883	0.2475300842981711	0.0018591088535768086	N/A	0.823170731707317	96562	23823.774746942425	-0.0032834953271883016	0.9885143090327887,1.0180526816215878
ORT14,ORT16	Unrelated	NA	15.661512054272494	1.0072085483704525	0.24849847330805624	0.0015904269644202637	N/A	0.8841463414634146	149015	36764.97787862333	-0.007208548370452483	0.9945738325064689,1.0198432642344362
ORT14,ORT18	Unrelated	NA	10.295639034942596	0.9789678006079888	0.24153091657374923	0.0017425760828940137	N/A	0.7012195121951219	110313	27216.42119735983	0.021032199392011175	0.9651243773189697,0.9928112238970079
ORT14,ORT2	Unrelated	NA	10.733726655628619	0.9958637770317493	0.24569949154578088	0.0020598166901184037	N/A	0.8109756097560976	74933	18487.468290969915	0.004136222968250669	0.9795001217405906,1.0122274323229081
