iid	pc1	pc2
ORT15_fu_rescale5__c0.06__r06	-0.0205	0.0267
ORT15_fu_rescale5__c0.06__r07	-0.0193	0.0264
ORT15_fu_rescale5__c0.06__r08	-0.0203	0.0259
ORT15_fu_rescale5__c0.06__r09	-0.0204	0.0251
ORT15_fu_rescale5__c0.06__r10	-0.0208	0.0281
ORT15_fu_rescale5__c0.08__r01	-0.0202	0.0266
ORT15_fu_rescale5__c0.08__r02	-0.0201	0.0261
ORT15_fu_rescale5__c0.08__r03	-0.0204	0.026
ORT15_fu_rescale5__c0.08__r04	-0.0198	0.0264
ORT15_fu_rescale5__c0.08__r05	-0.0205	0.0274
ORT15_fu_rescale5__c0.08__r06	-0.0201	0.0267
ORT15_fu_rescale5__c0.08__r07	-0.0191	0.0273
ORT15_fu_rescale5__c0.08__r08	-0.0202	0.0262
ORT15_fu_rescale5__c0.08__r09	-0.0204	0.0254
ORT15_fu_rescale5__c0.08__r10	-0.0207	0.0281
ORT15_fu_rescale5__c0.1__r01	-0.02	0.0262
ORT15_fu_rescale5__c0.1__r02	-0.02	0.0262
ORT15_fu_rescale5__c0.1__r03	-0.0204	0.0267
ORT15_fu_rescale5__c0.1__r04	-0.0198	0.0265
ORT15_fu_rescale5__c0.1__r05	-0.0206	0.0276
ORT15_fu_rescale5__c0.1__r06	-0.0203	0.0267
ORT15_fu_rescale5__c0.1__r07	-0.0196	0.0272
ORT15_fu_rescale5__c0.1__r08	-0.0202	0.0262
ORT15_fu_rescale5__c0.1__r09	-0.0204	0.0258
ORT15_fu_rescale5__c0.1__r10	-0.0203	0.0273
ORT15_fu_rescale5__c0.2__r01	-0.02	0.0262
ORT15_fu_rescale5__c0.2__r02	-0.02	0.0262
ORT15_fu_rescale5__c0.2__r03	-0.0205	0.0265
ORT15_fu_rescale5__c0.2__r04	-0.0197	0.027
ORT15_fu_rescale5__c0.2__r05	-0.0203	0.0268
ORT15_fu_rescale5__c0.2__r06	-0.0202	0.0263
ORT15_fu_rescale5__c0.2__r07	-0.0203	0.0267
ORT15_fu_rescale5__c0.2__r08	-0.0199	0.0262
ORT15_fu_rescale5__c0.2__r09	-0.0203	0.0262
ORT15_fu_rescale5__c0.2__r10	-0.0199	0.0261
ORT15_fu_rescale5__cfull__r01	-0.0201	0.0266
ORT15_fu_trim5__c0.01__r01	-0.0191	0.0287
ORT15_fu_trim5__c0.01__r02	-0.0203	0.0315
ORT15_fu_trim5__c0.01__r03	-0.0194	0.0304
ORT15_fu_trim5__c0.01__r04	-0.0205	0.0274
ORT15_fu_trim5__c0.01__r05	-0.0214	0.0257
ORT15_fu_trim5__c0.01__r06	-0.0197	0.0273
ORT15_fu_trim5__c0.01__r07	-0.0202	0.0244
ORT15_fu_trim5__c0.01__r08	-0.0209	0.0257
ORT15_fu_trim5__c0.01__r09	-0.0195	0.0255
ORT15_fu_trim5__c0.01__r10	-0.022	0.0339
ORT15_fu_trim5__c0.02__r01	-0.0195	0.0271
ORT15_fu_trim5__c0.02__r02	-0.0206	0.0288
ORT15_fu_trim5__c0.02__r03	-0.0202	0.0267
ORT15_fu_trim5__c0.02__r04	-0.0203	0.0272
ORT15_fu_trim5__c0.02__r05	-0.0214	0.0284
ORT15_fu_trim5__c0.02__r06	-0.0209	0.0278
ORT15_fu_trim5__c0.02__r07	-0.0203	0.0255
ORT15_fu_trim5__c0.02__r08	-0.0215	0.0255
ORT15_fu_trim5__c0.02__r09	-0.0203	0.0266
ORT15_fu_trim5__c0.02__r10	-0.0214	0.0299
ORT15_fu_trim5__c0.04__r01	-0.02	0.0274
ORT15_fu_trim5__c0.04__r02	-0.0207	0.0276
ORT15_fu_trim5__c0.04__r03	-0.0206	0.0263
ORT15_fu_trim5__c0.04__r04	-0.0206	0.0269
ORT15_fu_trim5__c0.04__r05	-0.0212	0.028
ORT15_fu_trim5__c0.04__r06	-0.0202	0.0283
ORT15_fu_trim5__c0.04__r07	-0.02	0.0273
ORT15_fu_trim5__c0.04__r08	-0.0207	0.0262
ORT15_fu_trim5__c0.04__r09	-0.0209	0.0267
ORT15_fu_trim5__c0.04__r10	-0.0211	0.0283
ORT15_fu_trim5__c0.06__r01	-0.0201	0.0276
ORT15_fu_trim5__c0.06__r02	-0.0204	0.0272
ORT15_fu_trim5__c0.06__r03	-0.0205	0.0272
ORT15_fu_trim5__c0.06__r04	-0.0205	0.0271
ORT15_fu_trim5__c0.06__r05	-0.021	0.0279
ORT15_fu_trim5__c0.06__r06	-0.0204	0.0284
ORT15_fu_trim5__c0.06__r07	-0.0196	0.0285
ORT15_fu_trim5__c0.06__r08	-0.0205	0.0269
ORT15_fu_trim5__c0.06__r09	-0.0208	0.0264
ORT15_fu_trim5__c0.06__r10	-0.0209	0.0285
ORT15_fu_trim5__c0.08__r01	-0.0202	0.0273
ORT15_fu_trim5__c0.08__r02	-0.0205	0.0272
ORT15_fu_trim5__c0.08__r03	-0.0208	0.0275
ORT15_fu_trim5__c0.08__r04	-0.02	0.0275
ORT15_fu_trim5__c0.08__r05	-0.0209	0.0285
ORT15_fu_trim5__c0.08__r06	-0.0206	0.0281
ORT15_fu_trim5__c0.08__r07	-0.02	0.0283
ORT15_fu_trim5__c0.08__r08	-0.0204	0.0272
ORT15_fu_trim5__c0.08__r09	-0.0209	0.0266
ORT15_fu_trim5__c0.08__r10	-0.0203	0.0278
ORT15_fu_trim5__c0.1__r01	-0.0201	0.027
ORT15_fu_trim5__c0.1__r02	-0.0208	0.027
ORT15_fu_trim5__c0.1__r03	-0.021	0.0276
ORT15_fu_trim5__c0.1__r04	-0.02	0.0282
ORT15_fu_trim5__c0.1__r05	-0.0208	0.0276
ORT15_fu_trim5__c0.1__r06	-0.0206	0.0279
ORT15_fu_trim5__c0.1__r07	-0.0201	0.0275
ORT15_fu_trim5__c0.1__r08	-0.0202	0.0269
ORT15_fu_trim5__c0.1__r09	-0.0208	0.0265
ORT15_fu_trim5__c0.1__r10	-0.0202	0.0272
ORT15_fu_trim5__c0.2__r01	-0.0203	0.0268
ORT15_fu_trim5__c0.2__r02	-0.0205	0.027
ORT15_fu_trim5__c0.2__r03	-0.0208	0.0281
ORT15_fu_trim5__c0.2__r04	-0.0202	0.0277
ORT15_fu_trim5__c0.2__r05	-0.0205	0.0277
ORT15_fu_trim5__c0.2__r06	-0.0206	0.0275
ORT15_fu_trim5__c0.2__r07	-0.0207	0.0277
ORT15_fu_trim5__c0.2__r08	-0.0204	0.0276
ORT15_fu_trim5__c0.2__r09	-0.0205	0.0272
ORT15_fu_trim5__c0.2__r10	-0.0203	0.0275
ORT15_fu_trim5__cfull__r01	-0.0205	0.0276
ORT15_nu_bamrefine5__c0.01__r01	-0.0153	0.0275
ORT15_nu_bamrefine5__c0.01__r02	-0.0173	0.0296
ORT15_nu_bamrefine5__c0.01__r03	-0.0192	0.0264
ORT15_nu_bamrefine5__c0.01__r04	-0.0179	0.0275
ORT15_nu_bamrefine5__c0.01__r05	-0.0176	0.0257
ORT15_nu_bamrefine5__c0.01__r06	-0.0194	0.0279
ORT15_nu_bamrefine5__c0.01__r07	-0.0183	0.0263
ORT15_nu_bamrefine5__c0.01__r08	-0.016	0.0313
ORT15_nu_bamrefine5__c0.01__r09	-0.0173	0.028
ORT15_nu_bamrefine5__c0.01__r10	-0.0177	0.0285
ORT15_nu_bamrefine5__c0.02__r01	-0.0164	0.0254
ORT15_nu_bamrefine5__c0.02__r02	-0.0178	0.029
ORT15_nu_bamrefine5__c0.02__r03	-0.019	0.0272
ORT15_nu_bamrefine5__c0.02__r04	-0.0191	0.0264
ORT15_nu_bamrefine5__c0.02__r05	-0.0163	0.0262
ORT15_nu_bamrefine5__c0.02__r06	-0.0179	0.0256
ORT15_nu_bamrefine5__c0.02__r07	-0.0186	0.0255
ORT15_nu_bamrefine5__c0.02__r08	-0.0175	0.0297
ORT15_nu_bamrefine5__c0.02__r09	-0.0195	0.0269
ORT15_nu_bamrefine5__c0.02__r10	-0.0189	0.027
ORT15_nu_bamrefine5__c0.04__r01	-0.0172	0.0267
ORT15_nu_bamrefine5__c0.04__r02	-0.0179	0.0291
ORT15_nu_bamrefine5__c0.04__r03	-0.0178	0.0272
ORT15_nu_bamrefine5__c0.04__r04	-0.0184	0.0257
ORT15_nu_bamrefine5__c0.04__r05	-0.0188	0.0271
ORT15_nu_bamrefine5__c0.04__r06	-0.0182	0.0274
ORT15_nu_bamrefine5__c0.04__r07	-0.018	0.0267
ORT15_nu_bamrefine5__c0.04__r08	-0.017	0.0282
ORT15_nu_bamrefine5__c0.04__r09	-0.0197	0.0271
ORT15_nu_bamrefine5__c0.04__r10	-0.018	0.0266
ORT15_nu_bamrefine5__c0.06__r01	-0.0175	0.0279
ORT15_nu_bamrefine5__c0.06__r02	-0.0178	0.028
ORT15_nu_bamrefine5__c0.06__r03	-0.0178	0.0266
ORT15_nu_bamrefine5__c0.06__r04	-0.0184	0.0272
ORT15_nu_bamrefine5__c0.06__r05	-0.0177	0.0275
ORT15_nu_bamrefine5__c0.06__r06	-0.0177	0.0273
ORT15_nu_bamrefine5__c0.06__r07	-0.0178	0.0274
ORT15_nu_bamrefine5__c0.06__r08	-0.0179	0.0271
ORT15_nu_bamrefine5__c0.06__r09	-0.019	0.0277
ORT15_nu_bamrefine5__c0.06__r10	-0.0178	0.0267
ORT15_nu_bamrefine5__c0.08__r01	-0.0175	0.0275
ORT15_nu_bamrefine5__c0.08__r02	-0.0177	0.0278
ORT15_nu_bamrefine5__c0.08__r03	-0.0174	0.0278
ORT15_nu_bamrefine5__c0.08__r04	-0.0186	0.0275
ORT15_nu_bamrefine5__c0.08__r05	-0.0179	0.0275
ORT15_nu_bamrefine5__c0.08__r06	-0.0178	0.0275
